date,product_id,category,sales_quantity,stock_remaining,location,price,promotion,is_holiday,day_of_week,is_weekend,month,quarter,reorder_point,lead_time
2023-01-04,Product_1,Electronics,14,486,Warehouse_C,94.19,1,0,2,0,1,1,39,9
2023-01-05,Product_1,Electronics,13,241,Warehouse_C,319.76,1,0,3,0,1,1,24,2
2023-01-08,Product_1,Home Goods,10,202,Warehouse_B,129.88,0,0,6,1,1,1,96,8
2023-01-26,Product_1,Electronics,8,464,Warehouse_A,59.54,1,0,3,0,1,1,79,3
2023-01-28,Product_1,Electronics,8,130,Warehouse_A,321.8,0,0,5,1,1,1,97,2
2023-01-29,Product_1,Electronics,14,287,Warehouse_A,122.33,0,0,6,1,1,1,38,2
2023-01-30,Product_1,Clothing,10,488,Warehouse_C,477.65,0,0,0,0,1,1,22,2
2023-01-31,Product_1,Electronics,17,470,Warehouse_C,486.09,0,1,1,0,1,1,70,8
2023-02-02,Product_1,Clothing,8,489,Warehouse_B,57.54,0,0,3,0,2,1,74,5
2023-02-07,Product_1,Home Goods,12,277,Warehouse_C,490.9,0,0,1,0,2,1,87,9
2023-02-12,Product_1,Clothing,8,370,Warehouse_C,427.11,1,0,6,1,2,1,75,6
2023-02-15,Product_1,Electronics,11,260,Warehouse_B,158.33,0,0,2,0,2,1,41,3
2023-02-18,Product_1,Clothing,9,58,Warehouse_A,70.73,0,0,5,1,2,1,31,8
2023-02-18,Product_1,Electronics,11,384,Warehouse_C,299.48,1,0,5,1,2,1,64,9
2023-02-19,Product_1,Clothing,6,91,Warehouse_A,46.49,0,0,6,1,2,1,94,3
2023-02-19,Product_1,Home Goods,8,151,Warehouse_A,238.03,0,0,6,1,2,1,39,9
2023-02-20,Product_1,Electronics,10,165,Warehouse_B,107.02,1,0,0,0,2,1,76,9
2023-02-21,Product_1,Electronics,17,396,Warehouse_A,42.3,1,0,1,0,2,1,74,7
2023-02-25,Product_1,Clothing,7,342,Warehouse_A,402.77,0,0,5,1,2,1,79,2
2023-02-28,Product_1,Electronics,8,67,Warehouse_C,350.16,0,0,1,0,2,1,33,6
2023-03-01,Product_1,Home Goods,13,463,Warehouse_B,445.51,1,0,2,0,3,1,78,9
2023-03-02,Product_1,Clothing,10,258,Warehouse_B,74.63,0,0,3,0,3,1,85,6
2023-03-03,Product_1,Clothing,8,453,Warehouse_B,92.33,0,0,4,0,3,1,72,6
2023-03-09,Product_1,Electronics,8,436,Warehouse_A,71.21,0,0,3,0,3,1,58,7
2023-03-14,Product_1,Clothing,10,198,Warehouse_C,331.92,0,0,1,0,3,1,63,9
2023-04-02,Product_1,Clothing,12,228,Warehouse_C,252.84,0,0,6,1,4,2,38,8
2023-04-07,Product_1,Clothing,8,423,Warehouse_A,471.59,0,0,4,0,4,2,92,2
2023-04-11,Product_1,Home Goods,8,245,Warehouse_C,135.4,0,0,1,0,4,2,72,7
2023-04-11,Product_1,Electronics,15,321,Warehouse_B,390.9,0,0,1,0,4,2,26,4
2023-04-13,Product_1,Home Goods,9,482,Warehouse_C,281.7,1,0,3,0,4,2,22,4
2023-04-13,Product_1,Clothing,12,278,Warehouse_A,472.2,0,0,3,0,4,2,61,6
2023-04-16,Product_1,Electronics,9,391,Warehouse_B,317.84,0,0,6,1,4,2,57,6
2023-04-17,Product_1,Electronics,12,174,Warehouse_C,430.43,0,0,0,0,4,2,33,9
2023-04-19,Product_1,Electronics,9,53,Warehouse_B,174.46,0,0,2,0,4,2,53,2
2023-04-22,Product_1,Home Goods,12,467,Warehouse_A,313.79,1,0,5,1,4,2,80,2
2023-04-23,Product_1,Clothing,8,155,Warehouse_B,316.3,0,0,6,1,4,2,40,9
2023-05-04,Product_1,Electronics,12,210,Warehouse_B,411.17,0,0,3,0,5,2,41,9
2023-05-07,Product_1,Electronics,10,314,Warehouse_B,322.09,0,0,6,1,5,2,41,8
2023-05-07,Product_1,Electronics,9,63,Warehouse_C,337.47,0,0,6,1,5,2,79,9
2023-05-10,Product_1,Electronics,12,199,Warehouse_A,137.85,0,0,2,0,5,2,57,3
2023-05-10,Product_1,Electronics,12,334,Warehouse_B,229.12,0,0,2,0,5,2,98,3
2023-05-13,Product_1,Home Goods,10,235,Warehouse_A,265.47,0,0,5,1,5,2,31,9
2023-05-17,Product_1,Electronics,11,179,Warehouse_B,345.65,0,0,2,0,5,2,62,8
2023-05-19,Product_1,Electronics,9,117,Warehouse_A,155.01,0,0,4,0,5,2,77,9
2023-05-23,Product_1,Home Goods,9,107,Warehouse_B,396.52,0,0,1,0,5,2,82,9
2023-06-05,Product_1,Clothing,13,348,Warehouse_C,359.62,0,0,0,0,6,2,51,4
2023-06-08,Product_1,Home Goods,14,254,Warehouse_C,170.13,0,0,3,0,6,2,86,6
2023-06-13,Product_1,Home Goods,8,363,Warehouse_C,404.52,0,0,1,0,6,2,81,9
2023-06-22,Product_1,Home Goods,7,418,Warehouse_C,117.06,0,0,3,0,6,2,98,5
2023-06-24,Product_1,Electronics,10,219,Warehouse_A,437.16,0,0,5,1,6,2,44,3
2023-06-25,Product_1,Clothing,7,278,Warehouse_B,18.27,0,0,6,1,6,2,55,6
2023-06-27,Product_1,Clothing,11,455,Warehouse_A,420.58,0,0,1,0,6,2,80,6
2023-06-27,Product_1,Clothing,6,288,Warehouse_A,357.92,0,0,1,0,6,2,87,8
2023-06-30,Product_1,Electronics,11,478,Warehouse_B,387.99,0,0,4,0,6,2,70,6
2023-07-01,Product_1,Electronics,6,266,Warehouse_A,187.52,0,1,5,1,7,3,92,2
2023-07-15,Product_1,Clothing,12,65,Warehouse_B,19.22,0,0,5,1,7,3,78,2
2023-07-21,Product_1,Home Goods,14,415,Warehouse_A,269.71,0,0,4,0,7,3,79,9
2023-07-27,Product_1,Home Goods,9,108,Warehouse_C,178.74,0,1,3,0,7,3,29,9
2023-08-08,Product_1,Clothing,11,489,Warehouse_A,97.8,0,0,1,0,8,3,96,6
2023-08-10,Product_1,Electronics,16,302,Warehouse_B,184.28,0,0,3,0,8,3,49,3
2023-08-13,Product_1,Electronics,9,309,Warehouse_A,183.44,0,1,6,1,8,3,92,9
2023-08-13,Product_1,Clothing,11,485,Warehouse_A,489.82,1,0,6,1,8,3,72,9
2023-08-15,Product_1,Electronics,6,149,Warehouse_B,172.77,0,0,1,0,8,3,26,6
2023-08-16,Product_1,Home Goods,12,337,Warehouse_A,179.91,0,0,2,0,8,3,20,6
2023-08-19,Product_1,Electronics,8,85,Warehouse_A,410.83,1,0,5,1,8,3,38,7
2023-08-21,Product_1,Clothing,15,52,Warehouse_A,370.95,0,0,0,0,8,3,57,9
2023-08-25,Product_1,Home Goods,8,105,Warehouse_A,337.78,1,0,4,0,8,3,88,6
2023-08-25,Product_1,Home Goods,4,258,Warehouse_C,114.59,0,0,4,0,8,3,35,4
2023-09-04,Product_1,Clothing,13,438,Warehouse_C,344.31,0,1,0,0,9,3,84,6
2023-09-17,Product_1,Electronics,12,234,Warehouse_B,196.18,0,0,6,1,9,3,99,5
2023-09-21,Product_1,Clothing,6,164,Warehouse_A,309.08,0,0,3,0,9,3,71,4
2023-09-24,Product_1,Home Goods,13,446,Warehouse_B,490.8,1,0,6,1,9,3,54,7
2023-09-25,Product_1,Electronics,5,145,Warehouse_A,150.11,0,0,0,0,9,3,83,6
2023-09-28,Product_1,Electronics,9,489,Warehouse_B,384.41,1,0,3,0,9,3,61,9
2023-10-20,Product_1,Home Goods,8,72,Warehouse_B,484.64,0,0,4,0,10,4,59,8
2023-10-28,Product_1,Home Goods,9,427,Warehouse_B,88.86,0,0,5,1,10,4,99,8
2023-11-12,Product_1,Clothing,11,393,Warehouse_B,125.39,0,0,6,1,11,4,97,5
2023-11-15,Product_1,Electronics,9,365,Warehouse_B,17.09,0,0,2,0,11,4,39,6
2023-11-16,Product_1,Clothing,10,191,Warehouse_C,295.17,0,0,3,0,11,4,81,8
2023-11-21,Product_1,Clothing,5,353,Warehouse_A,406.68,0,0,1,0,11,4,50,4
2023-11-28,Product_1,Home Goods,9,320,Warehouse_B,451.53,0,0,1,0,11,4,37,9
